STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,INDICATOR,,GEO_PICT,,SEX,,AGE,,URBANIZATION,,INCOME,,EDUCATION,,OCCUPATION,,COMPOSITE_BREAKDOWN,,DISABILITY,,TIME_PERIOD,,OBS_VALUE,,UNIT_MEASURE,,REPORTING_TYPE,,NATURE,,DATA_SOURCE,,OBS_STATUS,,OBS_COMMENT,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,TV,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2019,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,TV,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2020,,2266,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,TV,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2021,,6,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,TV,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2022,,7748,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2009,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2011,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2023),,,,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not followed a,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2012,,1528,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2015,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,11009,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2021,,24220,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,PW,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2022,,780,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2006,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2008,,96,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2011,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2013,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2022),,,,Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data ha,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2014,,280,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2015,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2016,,27452,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2017,,7029,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2018,,0,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
DATAFLOW,SPC:DF_SDG_11(3.0),,I,A,,VC_DSR_AFFCT,,MH,,_T,,_T,,_T,,_T,,_T,,_T,,_Z,,_T,,2019,,35844,,N,,G,,C,,United Nations Office for Disaster Risk Reduction (2025),,,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,
